nohup: ignoring input
/data2/ranran/chenghaoyue/ISGFAN/Data/dataset.py:176: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  cache = torch.load(TEST_DATA_PATH)

Initializing data loaders ...

Loading existing test dataset from /data2/ranran/chenghaoyue/ISGFAN/Data/test_dataset.pt

Data Statistics
Source Train : 2100
Target (no y): 2100
Test (y)     : 2100
2026-03-06 02:05:47,629 - INFO - [Epoch 330/3500] loss_total=0.576951, loss_main=0.155768, loss_diff_source=90.006706, loss_label_inv=2.292589, loss_global_dom=0.660781, loss_recon=0.156586, loss_local_dom=0.580729, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.4392, lr=0.00009786, epoch_time=00:00:04, eta=03:52:06
2026-03-06 02:06:32,855 - INFO - [Epoch 340/3500] loss_total=0.561834, loss_main=0.146871, loss_diff_source=89.251117, loss_label_inv=2.290447, loss_global_dom=0.657771, loss_recon=0.150560, loss_local_dom=0.551973, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.4507, lr=0.00009773, epoch_time=00:00:04, eta=03:51:34
2026-03-06 02:07:16,834 - INFO - [Epoch 350/3500] loss_total=0.563858, loss_main=0.141144, loss_diff_source=89.121567, loss_label_inv=2.288427, loss_global_dom=0.664728, loss_recon=0.158565, loss_local_dom=0.605356, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.4620, lr=0.00009759, epoch_time=00:00:03, eta=03:50:50
2026-03-06 02:08:01,035 - INFO - [Epoch 360/3500] loss_total=0.566903, loss_main=0.145712, loss_diff_source=87.848398, loss_label_inv=2.283702, loss_global_dom=0.662725, loss_recon=0.147825, loss_local_dom=0.592080, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.4731, lr=0.00009745, epoch_time=00:00:04, eta=03:50:08
2026-03-06 02:08:45,425 - INFO - [Epoch 370/3500] loss_total=0.557238, loss_main=0.136274, loss_diff_source=87.794000, loss_label_inv=2.283008, loss_global_dom=0.662544, loss_recon=0.144347, loss_local_dom=0.609944, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.4842, lr=0.00009731, epoch_time=00:00:04, eta=03:49:27
2026-03-06 02:09:29,840 - INFO - [Epoch 380/3500] loss_total=0.562088, loss_main=0.142012, loss_diff_source=90.363234, loss_label_inv=2.284716, loss_global_dom=0.660749, loss_recon=0.142090, loss_local_dom=0.598787, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.4950, lr=0.00009716, epoch_time=00:00:04, eta=03:48:47
2026-03-06 02:10:14,485 - INFO - [Epoch 390/3500] loss_total=0.553823, loss_main=0.131356, loss_diff_source=87.748055, loss_label_inv=2.337332, loss_global_dom=0.666654, loss_recon=0.143010, loss_local_dom=0.614393, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.5057, lr=0.00009701, epoch_time=00:00:04, eta=03:48:08
2026-03-06 02:10:59,621 - INFO - [Epoch 400/3500] loss_total=0.545863, loss_main=0.130302, loss_diff_source=86.073727, loss_label_inv=2.288421, loss_global_dom=0.655331, loss_recon=0.139360, loss_local_dom=0.604416, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.5163, lr=0.00009686, epoch_time=00:00:04, eta=03:47:33
2026-03-06 02:10:59,813 - INFO - [Eval @ Epoch 400/3500] test_loss=0.292672, test_acc=0.9005
2026-03-06 02:11:44,438 - INFO - [Epoch 410/3500] loss_total=0.581860, loss_main=0.152923, loss_diff_source=85.381876, loss_label_inv=2.295449, loss_global_dom=0.675117, loss_recon=0.141846, loss_local_dom=0.593761, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.5267, lr=0.00009670, epoch_time=00:00:04, eta=03:46:55
